district_key,state,district_name,unit_key,unit_label,first_year,last_year,is_coverage_gap
Andhra Pradesh:Krishna,Andhra Pradesh,Krishna,Andhra Pradesh:Alluri Sitharama Raju,East Godavari + Krishna + Visakhapatnam + West Godavari,2013,2024,False
Andhra Pradesh:Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh:Kurnool,Kurnool,2013,2024,False
Andhra Pradesh:Nandyal,Andhra Pradesh,Nandyal,Andhra Pradesh:Kurnool,Kurnool,2022,2024,False
Andhra Pradesh:Ntr,Andhra Pradesh,Ntr,Andhra Pradesh:Alluri Sitharama Raju,East Godavari + Krishna + Visakhapatnam + West Godavari,2022,2024,False
Andhra Pradesh:Palnadu,Andhra Pradesh,Palnadu,Andhra Pradesh:Annamayya,Chittoor + Guntur + Prakasam + Sri Potti Sriramulu Nellore + Y.S.R. Kadapa,2022,2024,False
Andhra Pradesh:Parvathipuram Manyam,Andhra Pradesh,Parvathipuram Manyam,Andhra Pradesh:Parvathipuram Manyam,Srikakulam + Vizianagaram,2022,2024,False
Andhra Pradesh:Prakasam,Andhra Pradesh,Prakasam,Andhra Pradesh:Annamayya,Chittoor + Guntur + Prakasam + Sri Potti Sriramulu Nellore + Y.S.R. Kadapa,2013,2024,False
Andhra Pradesh:Srikakulam,Andhra Pradesh,Srikakulam,Andhra Pradesh:Parvathipuram Manyam,Srikakulam + Vizianagaram,2013,2024,False
Andhra Pradesh:Sri Potti Sriramulu Nellore,Andhra Pradesh,Sri Potti Sriramulu Nellore,Andhra Pradesh:Annamayya,Chittoor + Guntur + Prakasam + Sri Potti Sriramulu Nellore + Y.S.R. Kadapa,2013,2024,False
Andhra Pradesh:Sri Sathya Sai,Andhra Pradesh,Sri Sathya Sai,Andhra Pradesh:Ananthapuramu,Ananthapuramu,2022,2024,False
Andhra Pradesh:Tirupati,Andhra Pradesh,Tirupati,Andhra Pradesh:Annamayya,Chittoor + Guntur + Prakasam + Sri Potti Sriramulu Nellore + Y.S.R. Kadapa,2022,2024,False
Andhra Pradesh:Visakhapatnam,Andhra Pradesh,Visakhapatnam,Andhra Pradesh:Alluri Sitharama Raju,East Godavari + Krishna + Visakhapatnam + West Godavari,2013,2024,False
Andhra Pradesh:Vizianagaram,Andhra Pradesh,Vizianagaram,Andhra Pradesh:Parvathipuram Manyam,Srikakulam + Vizianagaram,2013,2024,False
Andhra Pradesh:West Godavari,Andhra Pradesh,West Godavari,Andhra Pradesh:Alluri Sitharama Raju,East Godavari + Krishna + Visakhapatnam + West Godavari,2013,2024,False
Andhra Pradesh:Y.S.R. Kadapa,Andhra Pradesh,Y.S.R. Kadapa,Andhra Pradesh:Annamayya,Chittoor + Guntur + Prakasam + Sri Potti Sriramulu Nellore + Y.S.R. Kadapa,2013,2024,False
Arunachal Pradesh:Anjaw,Arunachal Pradesh,Anjaw,Arunachal Pradesh:Anjaw,Anjaw,2013,2024,False
Arunachal Pradesh:Changlang,Arunachal Pradesh,Changlang,Arunachal Pradesh:Changlang,Changlang,2013,2024,False
Arunachal Pradesh:Dibang Valley,Arunachal Pradesh,Dibang Valley,Arunachal Pradesh:Dibang Valley,Dibang Valley,2013,2024,False
Arunachal Pradesh:East Kameng,Arunachal Pradesh,East Kameng,Arunachal Pradesh:East Kameng,East Kameng,2013,2024,False
Arunachal Pradesh:East Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh:East Siang,East Siang + West Siang,2013,2024,False
Arunachal Pradesh:Kamle,Arunachal Pradesh,Kamle,Arunachal Pradesh:Kamle,Lower Subansiri + Upper Subansiri,2018,2024,False
Arunachal Pradesh:Kra Daadi,Arunachal Pradesh,Kra Daadi,Arunachal Pradesh:Kra Daadi,Kurung Kumey,2015,2024,False
Arunachal Pradesh:Kurung Kumey,Arunachal Pradesh,Kurung Kumey,Arunachal Pradesh:Kra Daadi,Kurung Kumey,2013,2024,False
Arunachal Pradesh:Leparada,Arunachal Pradesh,Leparada,Arunachal Pradesh:East Siang,East Siang + West Siang,2019,2024,False
Arunachal Pradesh:Lohit,Arunachal Pradesh,Lohit,Arunachal Pradesh:Lohit,Lohit,2013,2024,False
Arunachal Pradesh:Longding,Arunachal Pradesh,Longding,Arunachal Pradesh:Longding,Longding,2013,2024,False
Arunachal Pradesh:Lower Dibang Valley,Arunachal Pradesh,Lower Dibang Valley,Arunachal Pradesh:Lower Dibang Valley,Lower Dibang Valley,2013,2024,False
Arunachal Pradesh:Lower Siang,Arunachal Pradesh,Lower Siang,Arunachal Pradesh:East Siang,East Siang + West Siang,2018,2024,False
Arunachal Pradesh:Lower Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh:Kamle,Lower Subansiri + Upper Subansiri,2013,2024,False
Arunachal Pradesh:Namsai,Arunachal Pradesh,Namsai,Arunachal Pradesh:Lohit,Lohit,2015,2024,False
Arunachal Pradesh:Pakke Kessang,Arunachal Pradesh,Pakke Kessang,Arunachal Pradesh:East Kameng,East Kameng,2019,2024,False
Arunachal Pradesh:Papum Pare,Arunachal Pradesh,Papum Pare,Arunachal Pradesh:Papum Pare,Papum Pare,2013,2024,False
Arunachal Pradesh:Shi Yomi,Arunachal Pradesh,Shi Yomi,Arunachal Pradesh:East Siang,East Siang + West Siang,2019,2024,False
Arunachal Pradesh:Siang,Arunachal Pradesh,Siang,Arunachal Pradesh:East Siang,East Siang + West Siang,2015,2024,False
Arunachal Pradesh:Tawang,Arunachal Pradesh,Tawang,Arunachal Pradesh:Tawang,Tawang,2013,2024,False
Arunachal Pradesh:Tirap,Arunachal Pradesh,Tirap,Arunachal Pradesh:Tirap,Tirap,2013,2024,False
Arunachal Pradesh:Upper Siang,Arunachal Pradesh,Upper Siang,Arunachal Pradesh:Upper Siang,Upper Siang,2013,2024,False
Arunachal Pradesh:Upper Subansiri,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh:Kamle,Lower Subansiri + Upper Subansiri,2013,2024,False
Arunachal Pradesh:West Kameng,Arunachal Pradesh,West Kameng,Arunachal Pradesh:West Kameng,West Kameng,2013,2024,False
Arunachal Pradesh:West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh:East Siang,East Siang + West Siang,2013,2024,False
Assam:Baksa,Assam,Baksa,Assam:Baksa,Baksa,2013,2024,False
Assam:Barpeta,Assam,Barpeta,Assam:Barpeta,Barpeta,2013,2024,False
Assam:Biswanath,Assam,Biswanath,Assam:Biswanath,Sonitpur,2020,2024,False
Assam:Bongaigaon,Assam,Bongaigaon,Assam:Bongaigaon,Bongaigaon,2013,2024,False
Assam:Cachar,Assam,Cachar,Assam:Cachar,Cachar,2013,2024,False
Assam:Charaideo,Assam,Charaideo,Assam:Charaideo,Sivasagar,2020,2024,False
Assam:Chirang,Assam,Chirang,Assam:Chirang,Chirang,2013,2024,False
Assam:Darrang,Assam,Darrang,Assam:Darrang,Darrang,2013,2024,False
Assam:Dhemaji,Assam,Dhemaji,Assam:Dhemaji,Dhemaji,2013,2024,False
Assam:Dhubri,Assam,Dhubri,Assam:Dhubri,Dhubri,2013,2024,False
Assam:Dibrugarh,Assam,Dibrugarh,Assam:Dibrugarh,Dibrugarh,2013,2024,False
Assam:Dima Hasao,Assam,Dima Hasao,Assam:Dima Hasao,Dima Hasao,2013,2024,False
Assam:Goalpara,Assam,Goalpara,Assam:Goalpara,Goalpara,2013,2024,False
Assam:Golaghat,Assam,Golaghat,Assam:Golaghat,Golaghat,2013,2024,False
Assam:Hailakandi,Assam,Hailakandi,Assam:Hailakandi,Hailakandi,2013,2024,False
Assam:Hojai,Assam,Hojai,Assam:Hojai,Nagaon,2020,2024,False
Assam:Jorhat,Assam,Jorhat,Assam:Jorhat,Jorhat,2013,2024,False
Assam:Kamrup,Assam,Kamrup,Assam:Kamrup,Kamrup,2013,2024,False
Assam:Kamrup Metro,Assam,Kamrup Metro,Assam:Kamrup Metro,Kamrup Metro,2013,2024,False
Assam:Karbi Anglong,Assam,Karbi Anglong,Assam:Karbi Anglong,Karbi Anglong,2013,2024,False
Assam:Kokrajhar,Assam,Kokrajhar,Assam:Kokrajhar,Kokrajhar,2013,2024,False
Assam:Lakhimpur,Assam,Lakhimpur,Assam:Lakhimpur,Lakhimpur,2013,2024,False
Assam:Majuli,Assam,Majuli,Assam:Jorhat,Jorhat,2020,2024,False
Assam:Marigaon,Assam,Marigaon,Assam:Marigaon,Marigaon,2013,2024,False
Assam:Nagaon,Assam,Nagaon,Assam:Hojai,Nagaon,2013,2024,False
Assam:Nalbari,Assam,Nalbari,Assam:Nalbari,Nalbari,2013,2024,False
Assam:Sivasagar,Assam,Sivasagar,Assam:Charaideo,Sivasagar,2013,2024,False
Assam:Sonitpur,Assam,Sonitpur,Assam:Biswanath,Sonitpur,2013,2024,False
Assam:South Salmara Mancachar,Assam,South Salmara Mancachar,Assam:Dhubri,Dhubri,2020,2024,False
Assam:Sribhumi,Assam,Sribhumi,Assam:Sribhumi,Sribhumi,2013,2024,False
Assam:Tinsukia,Assam,Tinsukia,Assam:Tinsukia,Tinsukia,2013,2024,False
Assam:Udalguri,Assam,Udalguri,Assam:Udalguri,Udalguri,2013,2024,False
Assam:West Karbi Anglong,Assam,West Karbi Anglong,Assam:Karbi Anglong,Karbi Anglong,2020,2024,False
Bihar:Araria,Bihar,Araria,Bihar:Araria,Araria,2013,2024,False
Bihar:Arwal,Bihar,Arwal,Bihar:Arwal,Arwal,2013,2024,False
Bihar:Aurangabad,Bihar,Aurangabad,Bihar:Aurangabad,Aurangabad,2013,2024,False
Bihar:Banka,Bihar,Banka,Bihar:Banka,Banka,2013,2024,False
Bihar:Begusarai,Bihar,Begusarai,Bihar:Begusarai,Begusarai,2013,2024,False
Bihar:Bhagalpur,Bihar,Bhagalpur,Bihar:Bhagalpur,Bhagalpur,2013,2024,False
Bihar:Bhojpur,Bihar,Bhojpur,Bihar:Bhojpur,Bhojpur,2013,2024,False
Bihar:Buxar,Bihar,Buxar,Bihar:Buxar,Buxar,2013,2024,False
Bihar:Darbhanga,Bihar,Darbhanga,Bihar:Darbhanga,Darbhanga,2013,2024,False
Bihar:Gaya,Bihar,Gaya,Bihar:Gaya,Gaya,2013,2024,False
Bihar:Gopalganj,Bihar,Gopalganj,Bihar:Gopalganj,Gopalganj,2013,2024,False
Bihar:Jamui,Bihar,Jamui,Bihar:Jamui,Jamui,2013,2024,False
Bihar:Jehanabad,Bihar,Jehanabad,Bihar:Jehanabad,Jehanabad,2013,2024,False
Bihar:Kaimur (Bhabua),Bihar,Kaimur (Bhabua),Bihar:Kaimur (Bhabua),Kaimur (Bhabua),2013,2024,False
Bihar:Katihar,Bihar,Katihar,Bihar:Katihar,Katihar,2013,2024,False
Bihar:Khagaria,Bihar,Khagaria,Bihar:Khagaria,Khagaria,2013,2024,False
Bihar:Kishanganj,Bihar,Kishanganj,Bihar:Kishanganj,Kishanganj,2013,2024,False
Bihar:Lakhisarai,Bihar,Lakhisarai,Bihar:Lakhisarai,Lakhisarai,2013,2024,False
Bihar:Madhepura,Bihar,Madhepura,Bihar:Madhepura,Madhepura,2013,2024,False
Bihar:Madhubani,Bihar,Madhubani,Bihar:Madhubani,Madhubani,2013,2024,False
Bihar:Munger,Bihar,Munger,Bihar:Munger,Munger,2013,2024,False
Bihar:Muzaffarpur,Bihar,Muzaffarpur,Bihar:Muzaffarpur,Muzaffarpur,2013,2024,False
Bihar:Nalanda,Bihar,Nalanda,Bihar:Nalanda,Nalanda,2013,2024,False
Bihar:Nawada,Bihar,Nawada,Bihar:Nawada,Nawada,2013,2024,False
Bihar:Pashchim Champaran,Bihar,Pashchim Champaran,Bihar:Pashchim Champaran,Pashchim Champaran,2013,2024,False
Bihar:Patna,Bihar,Patna,Bihar:Patna,Patna,2013,2024,False
Bihar:Purbi Champaran,Bihar,Purbi Champaran,Bihar:Purbi Champaran,Purbi Champaran,2013,2024,False
Bihar:Purnia,Bihar,Purnia,Bihar:Purnia,Purnia,2013,2024,False
Bihar:Rohtas,Bihar,Rohtas,Bihar:Rohtas,Rohtas,2013,2024,False
Bihar:Saharsa,Bihar,Saharsa,Bihar:Saharsa,Saharsa,2013,2024,False
Bihar:Samastipur,Bihar,Samastipur,Bihar:Samastipur,Samastipur,2013,2024,False
Bihar:Saran,Bihar,Saran,Bihar:Saran,Saran,2013,2024,False
Bihar:Sheikhpura,Bihar,Sheikhpura,Bihar:Sheikhpura,Sheikhpura,2013,2024,False
Bihar:Sheohar,Bihar,Sheohar,Bihar:Sheohar,Sheohar,2013,2024,False
Bihar:Sitamarhi,Bihar,Sitamarhi,Bihar:Sitamarhi,Sitamarhi,2013,2024,False
Bihar:Siwan,Bihar,Siwan,Bihar:Siwan,Siwan,2013,2024,False
Bihar:Supaul,Bihar,Supaul,Bihar:Supaul,Supaul,2013,2024,False
Bihar:Vaishali,Bihar,Vaishali,Bihar:Vaishali,Vaishali,2013,2024,False
Chandigarh:Chandigarh,Chandigarh,Chandigarh,Chandigarh:Chandigarh,Chandigarh,2013,2024,False
Chhattisgarh:Balod,Chhattisgarh,Balod,Chhattisgarh:Balod,Balod,2013,2023,False
Chhattisgarh:Balodabazar-Bhatapara,Chhattisgarh,Balodabazar-Bhatapara,Chhattisgarh:Balodabazar-Bhatapara,Balodabazar-Bhatapara + Raigarh,2013,2023,False
Chhattisgarh:Balrampur-Ramanujganj,Chhattisgarh,Balrampur-Ramanujganj,Chhattisgarh:Balrampur-Ramanujganj,Balrampur-Ramanujganj,2013,2023,False
Chhattisgarh:Bastar,Chhattisgarh,Bastar,Chhattisgarh:Bastar,Bastar,2013,2023,False
Chhattisgarh:Bemetara,Chhattisgarh,Bemetara,Chhattisgarh:Bemetara,Bemetara,2013,2023,False
Chhattisgarh:Bijapur,Chhattisgarh,Bijapur,Chhattisgarh:Bijapur,Bijapur,2013,2023,False
Chhattisgarh:Bilaspur,Chhattisgarh,Bilaspur,Chhattisgarh:Bilaspur,Bilaspur,2013,2023,False
Chhattisgarh:Dakshin Bastar Dantewada,Chhattisgarh,Dakshin Bastar Dantewada,Chhattisgarh:Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,2013,2023,False
Chhattisgarh:Dhamtari,Chhattisgarh,Dhamtari,Chhattisgarh:Dhamtari,Dhamtari,2013,2023,False
Chhattisgarh:Durg,Chhattisgarh,Durg,Chhattisgarh:Durg,Durg,2013,2023,False
Chhattisgarh:Gariyaband,Chhattisgarh,Gariyaband,Chhattisgarh:Gariyaband,Gariyaband,2013,2023,False
Chhattisgarh:Gaurela-Pendra-Marwahi,Chhattisgarh,Gaurela-Pendra-Marwahi,Chhattisgarh:Bilaspur,Bilaspur,2019,2023,False
Chhattisgarh:Janjgir-Champa,Chhattisgarh,Janjgir-Champa,Chhattisgarh:Janjgir-Champa,Janjgir-Champa,2013,2023,False
Chhattisgarh:Jashpur,Chhattisgarh,Jashpur,Chhattisgarh:Jashpur,Jashpur,2014,2023,True
Chhattisgarh:Kabeerdham,Chhattisgarh,Kabeerdham,Chhattisgarh:Kabeerdham,Kabeerdham,2014,2023,True
Chhattisgarh:Khairagarh-Chhuikhadan-Gandai,Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,Chhattisgarh:Khairagarh-Chhuikhadan-Gandai,Rajnandgaon,2022,2023,False
Chhattisgarh:Kondagaon,Chhattisgarh,Kondagaon,Chhattisgarh:Kondagaon,Kondagaon,2013,2023,False
Chhattisgarh:Korba,Chhattisgarh,Korba,Chhattisgarh:Korba,Korba,2014,2023,True
Chhattisgarh:Korea,Chhattisgarh,Korea,Chhattisgarh:Korea,Korea,2014,2023,True
Chhattisgarh:Mahasamund,Chhattisgarh,Mahasamund,Chhattisgarh:Mahasamund,Mahasamund,2014,2023,True
Chhattisgarh:Manendragarh-Chirmiri-Bharatpur(M C B),Chhattisgarh,Manendragarh-Chirmiri-Bharatpur(M C B),Chhattisgarh:Korea,Korea,2022,2023,False
Chhattisgarh:Mohla-Manpur-Ambagarh Chouki,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,Chhattisgarh:Khairagarh-Chhuikhadan-Gandai,Rajnandgaon,2022,2023,False
Chhattisgarh:Mungeli,Chhattisgarh,Mungeli,Chhattisgarh:Mungeli,Mungeli,2013,2023,False
Chhattisgarh:Narayanpur,Chhattisgarh,Narayanpur,Chhattisgarh:Narayanpur,Narayanpur,2013,2023,False
Chhattisgarh:Raigarh,Chhattisgarh,Raigarh,Chhattisgarh:Balodabazar-Bhatapara,Balodabazar-Bhatapara + Raigarh,2014,2023,True
Chhattisgarh:Raipur,Chhattisgarh,Raipur,Chhattisgarh:Raipur,Raipur,2014,2023,True
Chhattisgarh:Rajnandgaon,Chhattisgarh,Rajnandgaon,Chhattisgarh:Khairagarh-Chhuikhadan-Gandai,Rajnandgaon,2014,2023,True
Chhattisgarh:Sakti,Chhattisgarh,Sakti,Chhattisgarh:Janjgir-Champa,Janjgir-Champa,2022,2023,False
Chhattisgarh:Sarangarh-Bilaigarh,Chhattisgarh,Sarangarh-Bilaigarh,Chhattisgarh:Balodabazar-Bhatapara,Balodabazar-Bhatapara + Raigarh,2022,2023,False
Chhattisgarh:Sukma,Chhattisgarh,Sukma,Chhattisgarh:Sukma,Sukma,2013,2023,False
Chhattisgarh:Surajpur,Chhattisgarh,Surajpur,Chhattisgarh:Surajpur,Surajpur,2013,2023,False
Chhattisgarh:Surguja,Chhattisgarh,Surguja,Chhattisgarh:Surguja,Surguja,2013,2023,False
Chhattisgarh:Uttar Bastar Kanker,Chhattisgarh,Uttar Bastar Kanker,Chhattisgarh:Uttar Bastar Kanker,Uttar Bastar Kanker,2014,2023,True
Goa:North Goa,Goa,North Goa,Goa:North Goa,North Goa,2013,2024,False
Goa:South Goa,Goa,South Goa,Goa:South Goa,South Goa,2013,2024,False
Gujarat:Ahmedabad,Gujarat,Ahmedabad,Gujarat:Ahmedabad,Ahmedabad + Bhavnagar,2013,2024,False
Gujarat:Amreli,Gujarat,Amreli,Gujarat:Amreli,Amreli,2013,2024,False
Gujarat:Anand,Gujarat,Anand,Gujarat:Anand,Anand,2013,2024,False
Gujarat:Arvalli,Gujarat,Arvalli,Gujarat:Arvalli,Sabar Kantha,2014,2024,False
Gujarat:Banas Kantha,Gujarat,Banas Kantha,Gujarat:Banas Kantha,Banas Kantha,2013,2024,False
Gujarat:Bharuch,Gujarat,Bharuch,Gujarat:Bharuch,Bharuch,2013,2024,False
Gujarat:Bhavnagar,Gujarat,Bhavnagar,Gujarat:Ahmedabad,Ahmedabad + Bhavnagar,2013,2024,False
Gujarat:Botad,Gujarat,Botad,Gujarat:Ahmedabad,Ahmedabad + Bhavnagar,2014,2024,False
Gujarat:Chhotaudepur,Gujarat,Chhotaudepur,Gujarat:Chhotaudepur,Vadodara,2014,2024,False
Gujarat:Dahod,Gujarat,Dahod,Gujarat:Dahod,Dahod,2013,2024,False
Gujarat:Dangs,Gujarat,Dangs,Gujarat:Dangs,Dangs,2013,2024,False
Gujarat:Devbhumi Dwarka,Gujarat,Devbhumi Dwarka,Gujarat:Devbhumi Dwarka,Jamnagar + Rajkot + Surendranagar,2014,2024,False
Gujarat:Gandhinagar,Gujarat,Gandhinagar,Gujarat:Gandhinagar,Gandhinagar,2013,2024,False
Gujarat:Gir Somnath,Gujarat,Gir Somnath,Gujarat:Gir Somnath,Junagadh,2014,2024,False
Gujarat:Jamnagar,Gujarat,Jamnagar,Gujarat:Devbhumi Dwarka,Jamnagar + Rajkot + Surendranagar,2013,2024,False
Gujarat:Junagadh,Gujarat,Junagadh,Gujarat:Gir Somnath,Junagadh,2013,2024,False
Gujarat:Kachchh,Gujarat,Kachchh,Gujarat:Kachchh,Kachchh,2013,2024,False
Gujarat:Kheda,Gujarat,Kheda,Gujarat:Kheda,Kheda + Panch Mahals,2013,2024,False
Gujarat:Mahesana,Gujarat,Mahesana,Gujarat:Mahesana,Mahesana,2013,2024,False
Gujarat:Mahisagar,Gujarat,Mahisagar,Gujarat:Kheda,Kheda + Panch Mahals,2014,2024,False
Gujarat:Morbi,Gujarat,Morbi,Gujarat:Devbhumi Dwarka,Jamnagar + Rajkot + Surendranagar,2014,2024,False
Gujarat:Narmada,Gujarat,Narmada,Gujarat:Narmada,Narmada,2013,2024,False
Gujarat:Navsari,Gujarat,Navsari,Gujarat:Navsari,Navsari,2013,2024,False
Gujarat:Panch Mahals,Gujarat,Panch Mahals,Gujarat:Kheda,Kheda + Panch Mahals,2013,2024,False
Gujarat:Patan,Gujarat,Patan,Gujarat:Patan,Patan,2013,2024,False
Gujarat:Porbandar,Gujarat,Porbandar,Gujarat:Porbandar,Porbandar,2013,2024,False
Gujarat:Rajkot,Gujarat,Rajkot,Gujarat:Devbhumi Dwarka,Jamnagar + Rajkot + Surendranagar,2013,2024,False
Gujarat:Sabar Kantha,Gujarat,Sabar Kantha,Gujarat:Arvalli,Sabar Kantha,2013,2024,False
Gujarat:Surat,Gujarat,Surat,Gujarat:Surat,Surat,2013,2024,False
Gujarat:Surendranagar,Gujarat,Surendranagar,Gujarat:Devbhumi Dwarka,Jamnagar + Rajkot + Surendranagar,2013,2024,False
Gujarat:Tapi,Gujarat,Tapi,Gujarat:Tapi,Tapi,2013,2024,False
Gujarat:Vadodara,Gujarat,Vadodara,Gujarat:Chhotaudepur,Vadodara,2013,2024,False
Gujarat:Valsad,Gujarat,Valsad,Gujarat:Valsad,Valsad,2013,2024,False
Haryana:Ambala,Haryana,Ambala,Haryana:Ambala,Ambala,2013,2024,False
Haryana:Bhiwani,Haryana,Bhiwani,Haryana:Bhiwani,Bhiwani,2013,2024,False
Haryana:Charkhi Dadri,Haryana,Charkhi Dadri,Haryana:Bhiwani,Bhiwani,2014,2024,False
Haryana:Faridabad,Haryana,Faridabad,Haryana:Faridabad,Faridabad,2013,2024,False
Haryana:Fatehabad,Haryana,Fatehabad,Haryana:Fatehabad,Fatehabad,2013,2024,False
Haryana:Gurugram,Haryana,Gurugram,Haryana:Gurugram,Gurugram,2013,2024,False
Haryana:Hisar,Haryana,Hisar,Haryana:Hisar,Hisar,2013,2024,False
Haryana:Jhajjar,Haryana,Jhajjar,Haryana:Jhajjar,Jhajjar,2013,2024,False
Haryana:Jind,Haryana,Jind,Haryana:Jind,Jind,2013,2024,False
Haryana:Kaithal,Haryana,Kaithal,Haryana:Kaithal,Kaithal,2013,2024,False
Haryana:Karnal,Haryana,Karnal,Haryana:Karnal,Karnal,2013,2024,False
Haryana:Kurukshetra,Haryana,Kurukshetra,Haryana:Kurukshetra,Kurukshetra,2013,2024,False
Haryana:Mahendragarh,Haryana,Mahendragarh,Haryana:Mahendragarh,Mahendragarh,2013,2024,False
Haryana:Nuh,Haryana,Nuh,Haryana:Nuh,Nuh,2013,2024,False
Haryana:Palwal,Haryana,Palwal,Haryana:Palwal,Palwal,2013,2024,False
Haryana:Panchkula,Haryana,Panchkula,Haryana:Panchkula,Panchkula,2013,2024,False
Haryana:Panipat,Haryana,Panipat,Haryana:Panipat,Panipat,2013,2024,False
Haryana:Rewari,Haryana,Rewari,Haryana:Rewari,Rewari,2013,2024,False
Haryana:Rohtak,Haryana,Rohtak,Haryana:Rohtak,Rohtak,2013,2024,False
Haryana:Sirsa,Haryana,Sirsa,Haryana:Sirsa,Sirsa,2013,2024,False
Haryana:Sonipat,Haryana,Sonipat,Haryana:Sonipat,Sonipat,2013,2024,False
Haryana:Yamunanagar,Haryana,Yamunanagar,Haryana:Yamunanagar,Yamunanagar,2013,2024,False
Himachal Pradesh:Bilaspur,Himachal Pradesh,Bilaspur,Himachal Pradesh:Bilaspur,Bilaspur,2013,2024,False
Himachal Pradesh:Chamba,Himachal Pradesh,Chamba,Himachal Pradesh:Chamba,Chamba,2013,2024,False
Himachal Pradesh:Hamirpur,Himachal Pradesh,Hamirpur,Himachal Pradesh:Hamirpur,Hamirpur,2013,2024,False
Himachal Pradesh:Kangra,Himachal Pradesh,Kangra,Himachal Pradesh:Kangra,Kangra,2013,2024,False
Himachal Pradesh:Kinnaur,Himachal Pradesh,Kinnaur,Himachal Pradesh:Kinnaur,Kinnaur,2013,2024,False
Himachal Pradesh:Kullu,Himachal Pradesh,Kullu,Himachal Pradesh:Kullu,Kullu,2013,2024,False
Himachal Pradesh:Lahaul And Spiti,Himachal Pradesh,Lahaul And Spiti,Himachal Pradesh:Lahaul And Spiti,Lahaul And Spiti,2013,2024,False
Himachal Pradesh:Mandi,Himachal Pradesh,Mandi,Himachal Pradesh:Mandi,Mandi,2013,2024,False
Himachal Pradesh:Shimla,Himachal Pradesh,Shimla,Himachal Pradesh:Shimla,Shimla,2013,2024,False
Himachal Pradesh:Sirmaur,Himachal Pradesh,Sirmaur,Himachal Pradesh:Sirmaur,Sirmaur,2013,2024,False
Himachal Pradesh:Solan,Himachal Pradesh,Solan,Himachal Pradesh:Solan,Solan,2013,2024,False
Himachal Pradesh:Una,Himachal Pradesh,Una,Himachal Pradesh:Una,Una,2013,2024,False
Jammu And Kashmir:Anantnag,Jammu And Kashmir,Anantnag,Jammu And Kashmir:Anantnag,Anantnag,2013,2024,False
